127.0.0.1, 2015-08-05 14:23:26, GET, /, HTTP/1.1, 303, 0.004045
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.148598
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000556
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000468
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000456
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000854
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000410
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000418
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000409
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000395
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000551
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000676
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000476
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000353
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000719
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000451
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000786
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001227
127.0.0.1, 2015-08-05 14:23:26, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000278
127.0.0.1, 2015-08-05 14:23:38, GET, /admin/default/design/welcome, HTTP/1.1, 303, 0.051130
127.0.0.1, 2015-08-05 14:23:38, GET, /admin/default/index, HTTP/1.1, 200, 0.024475
127.0.0.1, 2015-08-05 14:23:38, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 200, 0.001294
127.0.0.1, 2015-08-05 14:23:38, GET, /admin/static/_2.11.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000896
127.0.0.1, 2015-08-05 14:23:38, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001242
127.0.0.1, 2015-08-05 14:23:38, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 200, 0.002520
127.0.0.1, 2015-08-05 14:23:38, GET, /admin/static/_2.11.2/css/calendar.css, HTTP/1.1, 200, 0.002016
127.0.0.1, 2015-08-05 14:23:38, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 200, 0.002240
127.0.0.1, 2015-08-05 14:23:38, GET, /admin/static/_2.11.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000640
127.0.0.1, 2015-08-05 14:23:38, GET, /admin/static/_2.11.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.000452
127.0.0.1, 2015-08-05 14:23:38, GET, /admin/static/_2.11.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000480
127.0.0.1, 2015-08-05 14:23:38, GET, /admin/static/_2.11.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000395
127.0.0.1, 2015-08-05 14:23:38, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000445
127.0.0.1, 2015-08-05 14:23:38, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000378
